AS,Drought,5
MT,Flood,7
AL,Tornado,20
PR,Flood,52
PR,Drought,24
TX,Flood,10
ID,Flood,9
NJ,Coastal Storm,1
WV,Flood,9
LA,Severe Storm(s),1
LA,Flood,6
LA,Hurricane,10
NY,Flood,5
TN,Tornado,45
GA,Tornado,20
NH,Flood,4
NC,Tornado,6
IN,Tornado,39
CA,Flood,8
HI,Flood,2
MS,Flood,30
MN,Flood,18
ME,Flood,12
OR,Flood,19
IA,Flood,39
OH,Tornado,14
OH,Flood,4
WA,Flood,13
AK,Freezing,2
AK,Flood,1
AK,Other,1
AR,Flood,9
WI,Tornado,4
KY,Tornado,34
OK,Flood,39
VI,Flood,3
VI,Drought,2
MO,Flood,22
IL,Tornado,4
IL,Flood,46
MI,Tornado,1
KS,Flood,1
ND,Flood,18
