NY,Other,61
NY,Severe Storm(s),28
NY,Snow,3
MT,Severe Storm(s),7
MT,Fire,74
AL,Severe Storm(s),16
AL,Fire,1
MD,Severe Storm(s),15
TX,Tornado,1
TX,Fire,18
ID,Fire,16
OK,Severe Storm(s),11
OK,Fire,3
OK,Severe Ice Storm,39
WV,Flood,26
LA,Fire,11
LA,Snow,8
TN,Severe Storm(s),15
TN,Fire,7
GA,Severe Storm(s),57
NM,Fire,60
SD,Severe Storm(s),5
SD,Fire,2
NC,Severe Storm(s),33
VT,Severe Storm(s),6
CA,Earthquake,1
NJ,Other,21
NJ,Severe Storm(s),2
HI,Severe Storm(s),2
HI,Fire,1
WY,Severe Storm(s),4
WY,Fire,1
MN,Severe Storm(s),18
MN,Fire,5
FL,Severe Storm(s),13
FL,Fire,32
ME,Severe Storm(s),8
NV,Fire,3
KS,Severe Storm(s),3
OH,Severe Storm(s),9
WA,Fire,4
AK,Severe Storm(s),14
AR,Severe Ice Storm,119
WI,Severe Storm(s),30
KY,Tornado,11
KY,Severe Storm(s),16
KY,Fire,16
DC,Severe Storm(s),2
VA,Severe Storm(s),109
SC,Severe Storm(s),38
MO,Fire,1
MO,Flood,10
CO,Fire,4
AZ,Severe Storm(s),8
MI,Severe Storm(s),2
ND,Tornado,9
ND,Severe Storm(s),43
