NY,Flood,9
NY,Severe Ice Storm,7
NY,Hurricane,3
MD,Flood,2
TX,Flood,1
ID,Flood,5
MS,Severe Storm(s),4
NE,Severe Ice Storm,20
GA,Flood,8
SD,Flood,4
SD,Drought,62
VT,Flood,12
CA,Flood,3
MN,Drought,78
NJ,Flood,4
GU,Typhoon,1
WI,Flood,22
WI,Drought,66
KS,Flood,10
PW,Typhoon,2
AR,Tornado,4
AR,Drought,32
PA,Flood,23
OK,Tornado,2
OK,Flood,2
VA,Drought,38
CO,Flood,4
MO,Flood,4
MO,Drought,94
IL,Severe Storm(s),2
MI,Severe Storm(s),29
MP,Typhoon,1
ND,Flood,10
ND,Drought,18
