NY,Severe Storm(s),34
NY,Snow,4
MT,Fire,4
MD,Severe Storm(s),3
TX,Severe Storm(s),2
TX,Fire,274
ID,Severe Storm(s),1
NM,Severe Storm(s),20
NM,Fire,7
AZ,Severe Storm(s),11
AZ,Fire,4
CT,Snow,5
LA,Severe Storm(s),24
CO,Fire,4
ND,Severe Storm(s),16
NH,Severe Storm(s),7
SD,Severe Storm(s),6
SD,Fire,1
MA,Severe Storm(s),3
CA,Severe Storm(s),48
CA,Fire,9
HI,Earthquake,4
HI,Severe Storm(s),2
HI,Fire,1
WY,Fire,2
OH,Severe Storm(s),9
MN,Severe Storm(s),9
MN,Flood,9
FL,Fire,1
ME,Severe Storm(s),1
ME,Snow,1
NV,Severe Storm(s),8
NV,Fire,8
NJ,Severe Storm(s),4
KS,Severe Storm(s),19
KS,Fire,1
OR,Severe Storm(s),24
OR,Fire,2
WA,Severe Storm(s),25
WA,Fire,4
AK,Fire,2
AK,Severe Storm(s),6
AK,Flood,3
NE,Severe Storm(s),29
NE,Fire,3
PA,Severe Storm(s),28
OK,Severe Storm(s),1
OK,Fire,103
VA,Severe Storm(s),42
VA,Fire,1
IN,Severe Storm(s),3
SC,Severe Ice Storm,7
MO,Severe Storm(s),71
IL,Severe Storm(s),6
IL,Snow,26
DE,Severe Storm(s),1
AR,Severe Storm(s),7
TN,Severe Storm(s),15
