,Chemical,Coastal Storm,Dam/Levee Break,Drought,Earthquake,Fire,Fishing Losses,Flood,Freezing,Human Cause,Hurricane,Mud/Landslide,Other,Severe Ice Storm,Severe Storm(s),Snow,Terrorist,Tornado,Toxic Substances,Tsunami,Typhoon,Volcano,fyDeclared,state
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,65,0,0,0,0,0,0,2011,IL
1,0,0,0,0,0,0,0,76,0,0,27,0,0,0,5,0,0,0,0,0,0,0,2011,PA
2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2011,DE
3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2011,DC
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,2011,KY
5,0,0,0,0,0,2,0,8,0,0,0,0,0,0,25,0,0,0,0,0,0,0,2011,KS
6,0,0,0,0,0,0,0,7,0,0,38,0,0,0,0,0,0,0,0,0,0,0,2011,MD
7,0,0,0,0,0,0,0,23,0,0,49,0,0,0,40,0,0,0,0,0,0,0,2011,NY
8,0,0,0,0,0,2,0,0,0,0,72,0,0,0,20,0,0,0,0,0,0,0,2011,NC
9,0,0,0,0,0,0,0,0,0,0,137,0,0,0,13,0,0,0,0,0,0,0,2011,PR
10,0,0,0,0,0,6,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,2011,GA
11,0,0,0,0,0,0,0,39,0,0,0,0,0,0,218,0,0,0,0,0,0,0,2011,MO
12,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,2011,NM
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,2011,WI
14,0,0,0,0,0,0,0,34,0,0,0,0,0,0,18,0,0,0,0,0,0,0,2011,MN
15,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,AK
16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,FL
17,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2011,CA
18,0,0,0,0,0,0,0,6,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2011,IA
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2011,HI
20,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2011,RI
21,0,0,0,0,0,2,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,2011,VA
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,2011,OH
23,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2011,NH
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,2011,WY
25,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,7,0,2,0,0,0,0,2011,MA
26,0,0,0,0,0,0,0,70,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2011,ND
27,0,0,0,0,0,0,0,4,0,0,0,0,0,0,99,0,0,0,0,0,0,0,2011,TN
28,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2011,AZ
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2011,VI
30,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,NV
31,0,0,0,0,0,0,0,0,0,0,28,0,0,0,15,0,0,0,0,0,0,0,2011,VT
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,2011,AR
33,0,0,0,0,0,0,0,28,0,0,0,0,0,0,40,0,0,0,0,0,0,0,2011,MS
34,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,2011,ME
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,2011,IN
