MT,Fire,10
AL,Severe Storm(s),38
TX,Other,54
TX,Hurricane,18
PR,Severe Storm(s),31
CT,Snow,8
LA,Other,41
ND,Severe Storm(s),1
NH,Severe Storm(s),2
NH,Snow,5
SD,Fire,1
VT,Severe Storm(s),4
IN,Severe Storm(s),67
CA,Fire,23
HI,Fire,1
WY,Fire,1
NJ,Other,5
NJ,Snow,21
MA,Snow,14
UT,Fire,1
WA,Severe Storm(s),15
WA,Fire,3
OK,Severe Storm(s),27
OK,Fire,1
OK,Severe Ice Storm,14
NE,Severe Storm(s),19
KY,Severe Storm(s),119
DC,Severe Storm(s),1
DC,Hurricane,1
NV,Fire,4
CO,Fire,4
CO,Snow,29
AR,Severe Storm(s),23
AR,Severe Ice Storm,18
RI,Snow,2
NY,Other,65
NY,Severe Storm(s),17
NY,Severe Ice Storm,16
NY,Snow,42
MD,Severe Storm(s),20
MD,Hurricane,24
DE,Snow,3
DE,Hurricane,4
FM,Typhoon,3
WV,Severe Storm(s),103
WV,Hurricane,10
MS,Severe Storm(s),40
TN,Severe Storm(s),103
NM,Fire,2
NC,Severe Ice Storm,10
NC,Hurricane,49
AZ,Fire,7
FL,Severe Storm(s),12
ME,Freezing,11
ME,Snow,1
OR,Fire,5
KS,Severe Storm(s),15
OH,Tornado,15
OH,Severe Storm(s),41
OH,Other,13
AK,Severe Storm(s),3
PA,Severe Storm(s),52
VI,Severe Storm(s),3
VA,Severe Storm(s),45
VA,Hurricane,100
SC,Severe Ice Storm,6
MO,Severe Storm(s),76
IL,Severe Storm(s),16
MI,Other,14
AS,Severe Storm(s),2
